114120480|20150106|['1140000007']
114118560|20150106|['1140000009', '1140000091']
114122500|20150106|['1140000013']
114120780|20150106|['1140000017', '1140000099']
114118060|20150106|['1140000018']
114120400|20150106|['1140000062', '1140000175']
114121410|20150106|['1140000065', '1140000109']
114119830|20150106|['1140000069']
114121620|20150106|['1140000072']
114119180|20150106|['1140000078']
114118960|20150106|['1140000081']
114120450|20150106|['1140000084']
114119240|20150106|['1140000087']
114119900|20150106|['1140000102']
114119550|20150106|['1140000104']
114120210|20150106|['1140000143', '1140000164']
114122180|20150106|['1140000147']
114122220|20150106|['1140000149']
114118890|20150106|['1140000158']
114118620|20150106|['1140000161']
114118361|20150106|['1140000299']
114118321|20150106|['1140000303']
114118171|20150106|['1140000309']
114120181|20150106|['1140000310']
114118161|20150106|['1140000311', '1140000312', '1140000314']
114118431|20150106|['1140000349']
114118371|20150106|['1140000353']
114121080|20150107|['1140000387', '1140000417']
114118640|20150107|['1140000389']
114120820|20150107|['1140000393']
114123130|20150107|['1140000407']
114118920|20150107|['1140000408']
114123050|20150107|['1140000409']
114120920|20150107|['1140000410']
114122240|20150107|['1140000411']
114119770|20150107|['1140000412']
114118590|20150107|['1140000413']
114119190|20150107|['1140000415']
114122410|20150107|['1140000416']
114119020|20150107|['1140000421', '1140000562']
114119010|20150107|['1140000422', '1140000466']
114120660|20150107|['1140000430', '1140000436', '1140000454', '1140000521']
114118830|20150107|['1140000443', '1140000479']
114121480|20150107|['1140000445']
114119830|20150107|['1140000447']
114121630|20150107|['1140000451']
114119380|20150107|['1140000463', '1140000495']
114119310|20150107|['1140000464']
114122300|20150107|['1140000469']
114119880|20150107|['1140000471']
114119080|20150107|['1140000475']
114121770|20150107|['1140000484']
114121220|20150107|['1140000489']
114121870|20150107|['1140000506', '1140000519', '1140000537', '1140000543']
114119860|20150107|['1140000508']
114121050|20150107|['1140000539']
114119160|20150107|['1140000541']
114120850|20150107|['1140000566']
114119450|20150107|['1140000569']
114118880|20150107|['1140000576']
114120510|20150107|['1140000580']
114120860|20150107|['1140000586']
114119360|20150107|['1140000588']
114118990|20150107|['1140000590']
114119180|20150107|['1140000592']
